City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,boyalik,41.2634,28.6314,72.77,10,3,6.17,TR,1717300602
1,at taj,24.2049,23.2857,81.72,20,29,8.43,LY,1717300602
2,takoradi,4.8845,-1.7554,78.06,89,100,7.78,GH,1717300602
3,post,33.1909,-101.3782,74.97,75,74,6.71,US,1717300602
4,minas de marcona,-15.2119,-75.1103,52.93,91,35,7.87,PE,1717300602
5,klaksvik,62.2266,-6.589,50.92,93,100,11.81,FO,1717300603
6,nuku'alofa,-21.1333,-175.2,77.34,65,40,12.66,TO,1717300603
7,bilibino,68.0546,166.4372,47.7,46,26,6.71,RU,1717300603
8,ancud,-41.8697,-73.8203,41.76,92,18,6.98,CL,1717300603
9,grytviken,-54.2811,-36.5092,25.39,82,14,10.38,GS,1717300603
10,mount gambier,-37.8333,140.7667,56.3,50,28,6.38,AU,1717300603
11,port-aux-francais,-49.35,70.2167,34.48,74,13,47.92,TF,1717300603
12,cam ranh,11.9214,109.1591,94.96,49,0,9.22,VN,1717300603
13,ushuaia,-54.8,-68.3,37.06,75,0,18.41,AR,1717300497
14,udachny,66.4167,112.4,50.45,38,96,6.26,RU,1717300604
15,margaret river,-33.95,115.0667,60.01,71,79,21.32,AU,1717300604
16,west island,-12.1568,96.8225,82.38,78,40,16.11,CC,1717300604
17,reggane,26.7158,0.1714,82.63,19,0,7.14,DZ,1717300604
18,arraial do cabo,-22.9661,-42.0278,72.25,72,52,17.58,BR,1717300388
19,adamstown,-25.066,-130.1015,71.62,79,96,15.32,PN,1717300604
20,yellowknife,62.456,-114.3525,43.32,95,100,13.8,CA,1717300604
21,nemuro,43.3236,145.575,47.35,74,97,11.18,JP,1717300476
22,afaahiti,-17.75,-149.2833,78.67,69,7,2.93,PF,1717300605
23,urangan,-25.3,152.9,69.21,67,100,11.01,AU,1717300605
24,kodiak,57.79,-152.4072,45.91,81,100,13.8,US,1717300605
25,papatowai,-46.5619,169.4708,49.44,75,19,12.84,NZ,1717300605
26,blackmans bay,-43.0167,147.3167,52.74,66,6,2.04,AU,1717300605
27,marsh harbour,26.5412,-77.0636,77.14,71,100,19.04,BS,1717300605
28,ust-nera,64.5667,143.2,58.59,28,99,2.08,RU,1717300605
29,xilin hot,43.9667,116.0333,74.19,17,0,11.59,CN,1717300605
30,albany,42.6001,-73.9662,63.79,63,84,1.99,US,1717300316
31,uturoa,-16.7333,-151.4333,80.73,66,8,9.51,PF,1717300606
32,dwarka,22.2394,68.9678,87.39,62,95,14.36,IN,1717300606
33,victoria,22.2855,114.1577,88.43,83,95,8.99,HK,1717300254
34,klyuchi,52.2667,79.1667,60.12,41,97,13.27,RU,1717300606
35,isangel,-19.55,169.2667,76.1,78,11,20.36,VU,1717300606
36,nyurba,63.2842,118.3319,71.51,58,100,4.88,RU,1717300606
37,hawaiian paradise park,19.5933,-154.9731,78.31,82,100,11.5,US,1717300607
38,ribeira brava,32.65,-17.0667,68.72,82,100,1.41,PT,1717300607
39,puerto natales,-51.7236,-72.4875,34.11,90,94,3.47,CL,1717300321
40,egersund,58.4513,5.9997,55.09,91,3,17.07,NO,1717300607
41,nishinoomote,30.7333,131.0,73.96,68,75,14.97,JP,1717300607
42,hami,42.8,93.45,82.74,14,25,8.23,CN,1717300607
43,naracoorte,-36.9579,140.7383,56.86,52,35,9.08,AU,1717300607
44,ulladulla,-35.35,150.4667,60.76,54,90,17.96,AU,1717300607
45,waitangi,-43.9535,-176.5597,47.82,76,100,5.99,NZ,1717300608
46,puerto carreno,6.189,-67.4859,77.83,91,90,2.04,CO,1717300608
47,port mathurin,-19.6833,63.4167,76.5,73,55,20.45,MU,1717300608
48,puerto ayora,-0.7393,-90.3518,69.55,97,65,6.15,EC,1717300608
49,happy valley-goose bay,53.3168,-60.3315,50.31,50,20,4.61,CA,1717300344
50,santa cruz,-17.8,-63.1667,65.66,94,0,5.75,BO,1717300411
51,invercargill,-46.4,168.35,51.03,80,26,14.0,NZ,1717300608
52,zvishavane,-20.3267,30.0665,55.49,42,0,1.86,ZW,1717300609
53,scarborough,54.2797,-0.4044,46.65,90,5,5.99,GB,1717300491
54,carnarvon,-24.8667,113.6333,73.33,64,100,24.27,AU,1717300609
55,alice springs,-23.7,133.8833,63.95,45,7,13.8,AU,1717300609
